Category,Product,Price,URL
ACs,"Microsoft Surface Pro 11th Edition Wi-Fi Windows 11 Home Tablet (13 Inch, 16GB RAM, 512GB ROM, Black)","₹1,61,990",https://www.croma.com/microsoft-surface-pro-11th-edition-wi-fi-windows-11-home-tablet-13-inch-16gb-ram-512gb-rom-black-/p/308526
ACs,"Microsoft Surface Pro 11th Edition Wi-Fi Windows 11 Home Tablet (13 Inch, 16GB RAM, 256GB ROM, Platinum)","₹1,13,990",https://www.croma.com/microsoft-surface-pro-11th-edition-wi-fi-windows-11-home-tablet-13-inch-16gb-ram-256gb-rom-platinum-/p/315533
ACs,"Apple iPad 10th Generation Wi-Fi (10.9 Inch, 64GB, Blue, 2022 model)","₹27,994",https://www.croma.com/apple-ipad-10th-generation-wi-fi-10-9-inch-64gb-blue-2022-model-/p/264261
ACs,"Apple iPad 10th Generation Wi-Fi (10.9 Inch, 64GB, Silver, 2022 model)","₹27,994",https://www.croma.com/apple-ipad-10th-generation-wi-fi-10-9-inch-64gb-silver-2022-model-/p/264260
ACs,"Apple MacBook Air (13.3 Inch, M1, 8GB, 256GB, macOS Big Sur, Space Grey)","₹80,994",https://www.croma.com/apple-macbook-air-13-3-inch-m1-8gb-256gb-macos-big-sur-space-grey-/p/256711
ACs,"Dell Inspiron 15 3530 Intel Core i5 13th Gen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD WVA IPS Display, MS Office Home & Student 2021, Platinum Silver, 1.62 KG)","₹55,990",https://www.croma.com/dell-inspiron-15-3530-intel-core-i5-13th-gen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-wva-ips-display-ms-office-home-student-2021-platinum-silver-1-62-kg-/p/306647
ACs,"HP 14s-dq5138tu Intel Core i3 12th Gen Laptop (8GB, 512GB SSD, Windows 11 Home, 14 inch Full HD IPS Display, MS Office 2021, Natural Silver, 1.46 KG)","₹37,990",https://www.croma.com/hp-14s-dq5138tu-intel-core-i3-12th-gen-laptop-8gb-512gb-ssd-windows-11-home-14-inch-full-hd-ips-display-ms-office-2021-natural-silver-1-46-kg-/p/304464
ACs,"Apple iPad 10th Generation Wi-Fi (10.9 Inch, 64GB, Pink, 2022 model)","₹27,994",https://www.croma.com/apple-ipad-10th-generation-wi-fi-10-9-inch-64gb-pink-2022-model-/p/264263
ACs,"ASUS Vivobook 16 X1605ZAC-MB540WS Intel Core i5 12th Gen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 16 inch WUXGA Display, MS Office Home and Student 2021, Transparent Silver, 1.88 KG)","₹53,990",https://www.croma.com/asus-vivobook-16-x1605zac-mb540ws-intel-core-i5-12th-gen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-16-inch-wuxga-display-ms-office-home-and-student-2021-transparent-silver-1-88-kg-/p/306364
ACs,"OnePlus Pad 2 Wi-Fi Android Tablet (12.1 Inch, 12GB RAM, 256GB ROM, Nimbus Gray)","₹39,999",https://www.croma.com/oneplus-pad-2-wi-fi-android-tablet-12-1-inch-12gb-ram-256gb-rom-nimbus-gray-/p/308675
ACs,"Xiaomi Pad 7 Wi-Fi Android Tablet (11.2 Inch, 12GB RAM, 256GB ROM, Graphite Grey)","₹29,999",https://www.croma.com/xiaomi-pad-7-wi-fi-android-tablet-11-2-inch-12gb-ram-256gb-rom-graphite-grey-/p/312797
ACs,"Apple MacBook Air (13.6 inch, M3, 16GB, 256GB, macOS Sequoia, Midnight)","₹1,03,994",https://www.croma.com/apple-macbook-air-13-6-inch-m3-16gb-256gb-macos-sequoia-midnight-/p/311740
ACs,"HP 15s-fr5009TU Intel Core i3 12th Gen Laptop (8GB, 512GB SSD, Windows 11 Home, 15.6 inch FHD Display, MS Office 2021, Natural Silver, 1.69 KG)","₹36,490",https://www.croma.com/hp-15s-fr5009tu-intel-core-i3-12th-gen-laptop-8gb-512gb-ssd-windows-11-home-15-6-inch-fhd-display-ms-office-2021-natural-silver-1-69-kg-/p/272534
ACs,"Xiaomi Pad 7 Wi-Fi Android Tablet (11.16 Inch, 8GB RAM, 128GB ROM, Graphite Grey)","₹26,999",https://www.croma.com/xiaomi-pad-7-wi-fi-android-tablet-11-16-inch-8gb-ram-128gb-rom-graphite-grey-/p/312795
ACs,"acer Aspire 3 A325-45 Intel Celeron N4500 Thin & Light Laptop (8GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD LED Backlit Display, Pure Silver, 1.5 KG)","₹25,990",https://www.croma.com/acer-aspire-3-a325-45-intel-celeron-n4500-thin-light-laptop-8gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-led-backlit-display-pure-silver-1-5-kg-/p/311051
ACs,"HP 14 gr0001TU Intel Core i5 13th Gen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 14 inch Full HD Display, MS Office 2021, Natural Silver, 1.4 KG)","₹61,990",https://www.croma.com/hp-14-gr0001tu-intel-core-i5-13th-gen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-14-inch-full-hd-display-ms-office-2021-natural-silver-1-4-kg-/p/307931
Washing Machines,Unavailable,Unavailable,Unavailable
